"Countries","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0881057268722467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0075187969924812,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00684150513112885,0,0,0,0.00365853658536585,0,NA,0.0188679245283019,0.0151133501259446,0.0075187969924812,0,0,0,0,NA,NA,0.00510964445390675,0.0118918918918919,0,0,NA,0.000852333262305561,0,NA,0.00040281973816717,NA
"Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0
"Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211428571428571,0.128457571495546,0.116,0.666666666666667,0.0547945205479452,0.0222222222222222,0.0958904109589041,0,0,NA,0,0,0,0,0,NA,0.0534979423868313,NA,NA,NA,NA,0.0346534653465347,0.0411622276029056,0.2,0.106951871657754,0.0591133004926108,0.032794830371567,0.0201005025125628,0.00485436893203883,0.0292397660818713,0.0235042735042735,0.0180065939639868,0.0481481481481481,0.0253456221198157,0.014018691588785,0.0146862483311081,0.010989010989011,NA,0.0050761421319797,0.0135135135135135,0.0081383519837233,0.00529801324503311,0.0048,0.0113636363636364,0.0144230769230769,NA,0.0170827858081472
"Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.281090289608177,0,0.222719141323792,0.104430379746835,1,NA,NA,0,NA,NA,NA,NA,NA,0.0534002738475582,0.135770234986945,NA,NA,NA,NA,NA,0.113594040968343,NA,NA,NA,0.0778773259820813,0.136470588235294,NA,0.0501930501930502,0.0752688172043011,0.0226904376012966,0.0146750524109015,NA,0,NA,0.0152380952380952,NA,NA,NA,NA,NA,0.1,0.048951048951049,NA,NA,NA,NA
"Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449308755760369,0.0134730538922156,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.19205298013245,0.189189189189189,0.0580110497237569,0.0496389891696751,0.0368515922291208,0.0163568773234201,NA,NA,NA,NA,0.0515899864682003,0.03414517669532,0.0483558994197292,0.0857142857142857,0.153846153846154,0.036231884057971,0.125,0.142857142857143,0.4,0,0.0190325138778747,0.044811320754717,0.0357142857142857,0.051063829787234,0.0301507537688442,NA
"Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.184090909090909,0.375,NA,NA,NA,0,0,0.666666666666667,NA,NA,NA,NA,NA,NA,0.0608695652173913,NA,NA,NA,NA,NA,NA,NA,0.00984584783689707,0.0133689839572193,NA,NA,0.0206270627062706,0.0182926829268293,NA,0.0175054704595186,NA,NA,NA,NA,NA,NA,0.0248390064397424,NA,NA,0.0092818759159746,0.0078740157480315,NA,NA,NA,NA,NA
"Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0847058823529412,0.0566986739826246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0106343628629554,0.0112764810745823,0.00595546349041947,0.0137738423942366,0.0124851367419738,NA,NA,NA,NA,NA,NA
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0.166666666666667,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,NA
"Ghana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0658616904500549,0.0491263028816677,0.0512,0.0576070901033973,0.0766045548654244,0.053475935828877,0,0.0537699923838538,0.0647598488936859,0.0633763320246775,0.0807692307692308,0.0657476139978791,0.110849696860013,0.0578389830508475,0.0906403940886699,0,NA,NA,NA,NA,0.0204290091930541,0.0310507136349833,0.100877192982456,0.0262430939226519,0.0238200264666961,0.0197956577266922,0.042042042042042,0.0316622691292876,0.031523642732049,0.0275657336726039,0.0222155508856199,0.0291598323309641,0.0179856115107914,0.0196078431372549,0.0147420147420147,0.0161086544535692,0.0318736967530533,0.100558659217877,0.0204415372035977,0.00695517774343122,0.00684931506849315,0.00987956341738803,0.0104733975701718,0,0.0083955223880597,0.0115606936416185,0
